date,link
2/5/2011,/events/ufc-126-silva-vs-belfort-338
1/22/2011,/events/ufc-fight-night-23-fight-for-the-troops-ii-342
1/1/2011,/events/ufc-125-resolution-332
12/11/2010,/events/ufc-124-st-pierre-vs-koscheck-ii-313
12/4/2010,/events/ufc-the-ultimate-fighter-12-finale-330
11/20/2010,/events/ufc-123-rampage-vs-machida-317
11/13/2010,/events/ufc-122-marquardt-vs-okami-323
10/23/2010,/events/ufc-121-lesnar-vs-velasquez-308
10/16/2010,/events/ufc-120-bisping-vs-akiyama-294
9/25/2010,/events/ufc-119-mir-vs-cro-cop-296
9/15/2010,/events/ufc-fight-night-22-marquardt-vs-palhares-295
8/28/2010,/events/ufc-118-edgar-vs-penn-2-278
8/7/2010,/events/ufc-117-silva-vs-sonnen-276
8/1/2010,/events/ufc-on-versus-2-281
7/3/2010,/events/ufc-116-lesnar-vs-carwin-265
6/19/2010,/events/ufc-the-ultimate-fighter-11-finale-262
6/12/2010,/events/ufc-115-liddell-vs-franklin-255
5/29/2010,/events/ufc-114-jackson-vs-evans-256
5/8/2010,/events/ufc-113-machida-vs-shogun-ii-247
4/10/2010,/events/ufc-112-invincible-245
3/31/2010,/events/ufc-fight-night-21-florian-vs-gomi-246
3/27/2010,/events/ufc-111-st-pierre-vs-hardy-236
